0.0103269 9.49808e+22
0.0116823 6.97349e+22
0.0531190 5.51079e+22
0.0537645 4.75682e+22
0.0838739 4.97148e+22
0.0852938 3.59675e+22
0.0946849 4.22861e+22
0.125311 3.92870e+22
0.147513 2.48981e+22
0.166747 3.10465e+22
0.206635 3.49246e+22
0.207635 2.78029e+22
0.219189 1.99673e+22
0.258625 2.48981e+22
0.289315 2.27944e+22
0.299771 2.10225e+22
0.311550 1.43400e+22
0.381579 1.67356e+22
0.442992 1.39242e+22
0.514248 1.22873e+22
0.585536 1.07634e+22
0.646594 9.71003e+21
0.727628 9.22266e+21
0.839352 8.01961e+21
0.971214 7.07685e+21
1.05189 7.28819e+21
1.17423 5.63376e+21
1.31623 4.93504e+21
1.44809 4.35489e+21
1.68070 4.07590e+21
1.88343 3.46686e+21
2.11605 3.24476e+21
2.37848 3.39118e+21
2.71294 2.62138e+21
3.11782 2.16503e+21
