# time	Ne
1.866795421318823592e-12	3.289597142793560920e+02
2.007658904783659922e-12	3.307218882692927195e+02
2.148522388248496251e-12	3.324547003746009182e+02
2.289385871713332580e-12	3.341612557200937772e+02
2.430249355178168909e-12	3.358442964988544190e+02
2.630577827496441026e-12	3.382020731949831429e+02
2.830906299814713144e-12	3.405232865138779630e+02
3.031234772132985261e-12	3.428131597575106753e+02
3.231563244451257379e-12	3.450762312234364231e+02
3.431891716769529496e-12	3.473164878102288640e+02
3.750345505188155861e-12	3.508393988692668586e+02
4.068799293606781822e-12	3.543258396999660818e+02
4.387253082025407783e-12	3.577862819429360002e+02
4.705706870444033743e-12	3.612298825291831577e+02
5.024160658862659704e-12	3.646647878802910441e+02
5.463344483960562204e-12	3.694010510980788240e+02
5.902528309058464704e-12	3.741513012199201285e+02
6.341712134156367203e-12	3.789295137919004333e+02
6.780895959254269703e-12	3.837467900228637632e+02
7.220079784352172203e-12	3.886109123058420778e+02
7.706652397948721182e-12	3.940592059996647549e+02
8.193225011545270161e-12	3.995689976289104948e+02
8.679797625141819141e-12	4.051330346608743866e+02
9.166370238738368120e-12	4.107379505290888346e+02
9.652942852334917099e-12	4.163658439543711438e+02
1.013951546593146608e-11	4.219962550549121829e+02
1.062608807952801506e-11	4.276080316369303773e+02
1.070395620824248018e-11	4.285030440653142705e+02
1.078182433695694530e-11	4.293970200157766612e+02
1.085969246567141042e-11	4.302898596545420560e+02
1.093756059438587554e-11	4.311814701682851592e+02
1.101542872310034066e-11	4.320717747352010747e+02
1.114196264771461167e-11	4.335155296783821086e+02
1.126849657232888268e-11	4.349553521310006090e+02
1.139503049694315369e-11	4.363909427826209821e+02
1.152156442155742470e-11	4.378220101247885623e+02
1.178919884684954535e-11	4.408327779384520113e+02
1.205683327214166599e-11	4.438196502854023038e+02
1.232446769743378663e-11	4.467803581764797514e+02
1.259210212272590727e-11	4.497127997149070779e+02
1.290981049054622163e-11	4.531544375025692375e+02
1.322751885836653598e-11	4.565502307640776394e+02
1.354522722618685034e-11	4.598970620580941500e+02
1.386293559400716470e-11	4.631916221995481919e+02
1.418064396182747905e-11	4.664301389585698416e+02
1.449835232964779341e-11	4.696080684847706266e+02
1.481606069746810776e-11	4.727197485025354808e+02
1.513376906528842373e-11	4.757579869194045159e+02
1.549239506275451200e-11	4.790872974709665186e+02
1.585102106022060027e-11	4.822930274771713925e+02
1.620964705768668854e-11	4.853516113854579430e+02
1.656827305515277681e-11	4.882328353238969498e+02
1.662686160281697591e-11	4.886843226738784551e+02
1.668545015048117500e-11	4.891300497009974038e+02
1.674403869814537409e-11	4.895698184084612876e+02
1.680262724580957319e-11	4.900034403443343649e+02
1.686121579347377228e-11	4.904307550657001116e+02
1.697839288880216723e-11	4.912658697105720762e+02
1.709556998413056219e-11	4.920740875469874709e+02
1.721274707945895714e-11	4.928544559878878317e+02
1.732992417478735210e-11	4.936061908484133482e+02
1.744710127011574705e-11	4.943287604561876947e+02
1.760278142974097100e-11	4.952433467567029766e+02
1.775846158936619494e-11	4.961066276487372306e+02
1.791414174899141888e-11	4.969203045558272152e+02
1.806982190861664283e-11	4.976872857956906842e+02
1.822550206824186677e-11	4.984115524438440161e+02
1.834316970432641866e-11	4.989335465251949131e+02
1.846083734041097056e-11	4.994361213584560915e+02
1.857850497649552245e-11	4.999215651618612242e+02
1.859845334058024459e-11	5.000023302728036469e+02
1.863835006874969211e-11	5.001626212997549601e+02
1.867824679691913963e-11	5.003213283340733142e+02
1.871814352508858715e-11	5.004785336211202207e+02
1.875804025325803467e-11	5.006343166233179431e+02
1.877383032043983767e-11	5.006955960146456732e+02
1.878962038762164067e-11	5.007566692960018031e+02
1.880541045480344367e-11	5.008175410369439078e+02
1.888584484935854668e-11	5.011246468863988071e+02
1.896627924391364969e-11	5.014272049677568361e+02
1.904671363846875271e-11	5.017257191849063815e+02
1.912714803302385572e-11	5.020206417885166843e+02
1.923267106212404125e-11	5.024027744302375140e+02
1.933819409122422678e-11	5.027801700828521234e+02
1.942376476830940975e-11	5.030831586870336878e+02
1.950933544539459272e-11	5.033837160451309956e+02
1.959490612247977570e-11	5.036820610389647754e+02
1.968047679956495867e-11	5.039783731325600797e+02
1.976604747665014165e-11	5.042727976545004367e+02
1.985161815373532462e-11	5.045654497894047381e+02
1.993718883082050759e-11	5.048564211418279797e+02
2.002275950790569057e-11	5.051457843406709571e+02
2.009162277181891131e-11	5.053775217579382684e+02
2.016048603573213206e-11	5.056082793710436363e+02
2.022934929964535280e-11	5.058380773633354579e+02
2.029821256355857355e-11	5.060669327907866659e+02
2.036707582747179430e-11	5.062948601823304671e+02
2.043593909138501504e-11	5.065218720352413584e+02
2.050480235529823579e-11	5.067479792795397202e+02
2.057366561921145653e-11	5.069731916215906722e+02
2.062972679795034798e-11	5.071558809379361605e+02
2.068578797668923942e-11	5.073379873363412003e+02
2.074184915542813087e-11	5.075195149120166889e+02
2.079791033416702231e-11	5.077004675574225985e+02
2.085397151290591375e-11	5.078808489984930361e+02
2.091003269164480520e-11	5.080606628249454388e+02
2.096609387038369664e-11	5.082399125177907422e+02
2.102215504912258809e-11	5.084186014693279958e+02
2.107821622786147953e-11	5.085967329989855443e+02
2.113427740660037098e-11	5.087743103660621387e+02
2.119033858533926242e-11	5.089513367794425562e+02
2.124639976407815387e-11	5.091278154051155411e+02
2.130246094281704531e-11	5.093037493719911026e+02
2.135852212155593675e-11	5.094791417763221375e+02
2.141458330029482820e-11	5.096539956850620570e+02
2.147064447903371964e-11	5.098283141384040391e+02
2.152670565777261109e-11	5.100021001516826118e+02
2.158276683651150253e-11	5.101753567167917254e+02
2.163882801525039398e-11	5.103480868032362423e+02
2.169488919398928542e-11	5.105202933589064855e+02
2.176192560274806629e-11	5.107255299897642544e+02
2.182896201150684716e-11	5.109300271884280846e+02
2.189599842026562803e-11	5.111337898791002203e+02
