# time	Ne
7.519022861573778687e-12	9.997615842583264625e+20
8.258015648124940585e-12	9.997175250027616666e+20
8.997008434676102483e-12	9.996719407337791816e+20
9.736001221227264381e-12	9.996248304178031493e+20
1.072380788432332687e-11	9.995594752942281851e+20
1.171161454741938937e-11	9.994913982076606218e+20
1.269942121051545186e-11	9.994206100638525030e+20
1.368722787361151435e-11	9.993471271044343398e+20
1.467503453670757523e-11	9.992709700495511388e+20
1.737473907472525669e-11	9.990493886889512141e+20
2.007444361274293816e-11	9.988085807901174661e+20
2.277414815076061963e-11	9.985491346410390159e+20
2.547385268877830109e-11	9.982716129840016916e+20
2.817355722679598256e-11	9.979765343397209702e+20
3.148477736942330337e-11	9.975913337604386324e+20
3.479599751205062418e-11	9.971812199201059635e+20
3.810721765467794499e-11	9.967469089690345800e+20
4.141843779730526580e-11	9.962890261650130862e+20
4.472965793993258661e-11	9.958081724060887941e+20
4.804087808255990742e-11	9.953049159157602058e+20
5.328079463769328506e-11	9.944640338833868063e+20
5.852071119282666917e-11	9.935703525671549010e+20
6.376062774796005328e-11	9.926257392580599480e+20
6.900054430309343739e-11	9.916319619513818808e+20
7.424046085822682149e-11	9.905907242291521126e+20
7.948037741336020560e-11	9.895036635434671145e+20
8.910424563432440518e-11	9.873929996926843617e+20
9.872811385528860476e-11	9.851424961749297398e+20
1.083519820762528043e-10	9.827610564031087903e+20
1.179758502972170168e-10	9.802571516571706982e+20
1.275997185181812035e-10	9.776388849402575585e+20
1.372235867391453901e-10	9.749139661669543444e+20
1.549563356856462984e-10	9.696382110583771628e+20
1.726890846321472066e-10	9.640680921570237481e+20
1.904218335786481148e-10	9.582427631178669097e+20
2.081545825251490230e-10	9.521978728844608143e+20
2.258873314716499312e-10	9.459658879552569999e+20
2.436200804181508394e-10	9.395761952134217073e+20
2.750778157293188199e-10	9.279336681788358001e+20
3.065355510404868003e-10	9.160060481403554365e+20
3.379932863516547808e-10	9.038999595230513070e+20
3.694510216628227612e-10	8.917033262665455370e+20
4.009087569739907417e-10	8.794880746282091807e+20
